Python_Function,Description,Unit Test Cases
def get_unique_values(dict): return list(set(dict.values())),"Gets unique values from a dictionary.

This function returns a list of unique values from the input dictionary dict, with duplicates removed.","def test_get_unique_values(): assert get_unique_values({'a': 1, 'b': 2, 'c': 1}) == [1, 2] assert get_unique_values({'x': 10, 'y': 10}) == [10] assert get_unique_values({}) == []"
def is_even(n): return n % 2 == 0,"Checks if a number is even.

This function returns True if the input number n is even, otherwise False.",def test_is_even(): assert is_even(2) assert not is_even(3) assert is_even(0)
"def generate_even_numbers(n): return [i for i in range(2, n + 1, 2)]","Generates a list of even numbers up to n.

This function returns a list of all even numbers from 2 to n inclusive.","def test_generate_even_numbers(): assert generate_even_numbers(10) == [2, 4, 6, 8, 10] assert generate_even_numbers(5) == [2, 4] assert generate_even_numbers(1) == []"
"def get_index_of_element(lst, item): return lst.index(item) if item in lst else -1","Gets the index of an element in a list.

This function returns the index of the first occurrence of the input item in the input list lst. If the item is not found, it returns -1.","def test_get_index_of_element(): assert get_index_of_element([1, 2, 3], 2) == 1 assert get_index_of_element([4, 5], 6) == -1 assert get_index_of_element([], 1) == -1"
"def find_longest_word(words): return max(words, key=len)","Finds the longest word in a list of words.

This function returns the longest word from a list of words. If there are multiple words with the same length, it returns the first one encountered.","def test_find_longest_word(): assert find_longest_word([""apple"", ""banana"", ""cherry""]) == ""banana"" assert find_longest_word([""cat"", ""elephant"", ""tiger""]) == ""elephant"" assert find_longest_word([""a"", ""b"", ""c""]) == ""a"""
"def is_sublist(lst1, lst2): return all(item in lst2 for item in lst1)","Checks if a list is a sublist of another list.

This function returns True if all elements in the input list lst1 are present in the input list lst2.","def test_is_sublist(): assert is_sublist([1, 2], [1, 2, 3]) assert not is_sublist([1, 4], [1, 2, 3]) assert is_sublist([], [1, 2, 3])"
def calculate_mean_of_dict_values(d): return sum(d.values()) / len(d) if d else 0,"Calculates the mean of values in a dictionary.

This function returns the average of all values in the input dictionary d. If the dictionary is empty, it returns 0.","def test_calculate_mean_of_dict_values(): assert calculate_mean_of_dict_values({'a': 1, 'b': 2}) == 1.5 assert calculate_mean_of_dict_values({'x': 10, 'y': 20}) == 15 assert calculate_mean_of_dict_values({}) == 0"
def filter_even_numbers(lst): return [x for x in lst if x % 2 == 0],Filters out even numbers from a list.,"def test_filter_even_numbers(): assert filter_even_numbers([1, 2, 3, 4]) == [2, 4] assert filter_even_numbers([5, 6, 7, 8]) == [6, 8] assert filter_even_numbers([]) == []"
def find_smallest_number(lst): return min(lst) if lst else None,"Finds the smallest number in a list.

This function returns the smallest number from the input list lst. If the list is empty, it returns None.","def test_find_smallest_number(): assert find_smallest_number([1, 2, 3]) == 1 assert find_smallest_number([7, 4, 6]) == 4 assert find_smallest_number([]) is None"
def remove_vowels(s): return ''.join(c for c in s if c not in 'aeiouAEIOU'),"Removes vowels from a string.

This function returns a new string with all vowels removed from the input string s.",def test_remove_vowels(): assert remove_vowels("hello") == "hll" assert remove_vowels("world") == "wrld" assert remove_vowels("AEIOU") == ""
def calculate_area_of_circle(radius): import math return math.pi * radius ** 2,"Calculates the area of a circle.

This function returns the area of a circle with the given radius, using the formula p?adius2\pi \times \text{radius}^2p?adius2.","def test_calculate_area_of_circle(): assert calculate_area_of_circle(1) == pytest.approx(3.1416, rel=1e-4) assert calculate_area_of_circle(2) == pytest.approx(12.5664, rel=1e-4) assert calculate_area_of_circle(0) == 0"
def find_duplicates(lst): seen = set() duplicates = set() for item in lst: if item in seen: duplicates.add(item) else: seen.add(item) return list(duplicates),Finds duplicate elements in a list.,"def test_find_duplicates(): assert find_duplicates([1, 2, 2, 3, 4, 4]) == [2, 4] assert find_duplicates([1, 2, 3]) == [] assert find_duplicates([1, 1, 1]) == [1]"
def is_palindrome(s): return s == s[::-1],Checks if a string is a palindrome.,def test_is_palindrome(): assert is_palindrome("radar") assert not is_palindrome("hello") assert is_palindrome("level")
"def calculate_area_of_rectangle(length, width): return length * width","Calculates the area of a rectangle.

This function returns the area of a rectangle given its length and width, using the formula length * width.","def test_calculate_area_of_rectangle(): assert calculate_area_of_rectangle(5, 4) == 20 assert calculate_area_of_rectangle(7, 3) == 21 assert calculate_area_of_rectangle(0, 10) == 0"
def find_second_largest(lst): return sorted(set(lst))[-2] if len(set(lst)) > 1 else None,"Finds the second largest value in a list.

This function returns the second largest unique value from the input list lst. If there are fewer than two unique values, it returns None.","def test_find_second_largest(): assert find_second_largest([1, 2, 3]) == 2 assert find_second_largest([7, 4, 4, 6]) == 6 assert find_second_largest([1, 1]) is None"
def calculate_factorial(n): from math import factorial return factorial(n),"Calculates the factorial of a number.

This function returns the factorial of the input number n, using Python's built-in math.factorial function.",def test_calculate_factorial(): assert calculate_factorial(5) == 120 assert calculate_factorial(0) == 1 assert calculate_factorial(3) == 6
"def merge_dicts(d1, d2): result = d1.copy() result.update(d2) return result","Merges two dictionaries.

This function returns a new dictionary by merging the input dictionaries d1 and d2. Values from d2 overwrite those from d1 if they have the same key.","def test_merge_dicts(): assert merge_dicts({'a': 1}, {'b': 2}) == {'a': 1, 'b': 2} assert merge_dicts({'x': 10}, {'x': 20, 'y': 30}) == {'x': 20, 'y': 30} assert merge_dicts({}, {}) == {}"
def get_last_element(lst): return lst[-1] if lst else None,Gets the last element of a list.,"def test_get_last_element(): assert get_last_element([1, 2, 3]) == 3 assert get_last_element(['a', 'b']) == 'b' assert get_last_element([]) is None"
def count_vowels(s): return sum(1 for c in s if c in 'aeiouAEIOU'),"Counts the number of vowels in a string.

This function returns the count of vowels (a, e, i, o, u) in the input string s.",def test_count_vowels(): assert count_vowels("hello") == 2 assert count_vowels("world") == 1 assert count_vowels("python") == 1
"def get_common_elements(lst1, lst2): return list(set(lst1) & set(lst2))",Finds common elements between two lists.,"def test_get_common_elements(): assert get_common_elements([1, 2, 3], [3, 4, 5]) == [3] assert get_common_elements([1, 2], [3, 4]) == [] assert get_common_elements([1, 2, 3], [2, 3, 4]) == [2, 3]"
def calculate_median(lst): from statistics import median return median(lst),"Calculates the median of a list.

This function returns the median of the input list lst using Python's built-in statistics.median function.","def test_calculate_median(): assert calculate_median([1, 3, 2]) == 2 assert calculate_median([1, 2, 3, 4]) == 2.5 assert calculate_median([]) == None"
def remove_non_alpha(s): return ''.join(c for c in s if c.isalpha()),"Removes non-alphabetic characters from a string.

This function returns a new string with all non-alphabetic characters removed from the input string s.",def test_remove_non_alpha(): assert remove_non_alpha("hello123") == "hello" assert remove_non_alpha("world!") == "world" assert remove_non_alpha("pyth0n") == "pythn"
"def calculate_sum_of_squares(n): return sum(i**2 for i in range(1, n + 1))","Calculates the sum of squares of numbers up to n.

This function returns the sum of squares of all integers from 1 to n, inclusive.",def test_calculate_sum_of_squares(): assert calculate_sum_of_squares(3) == 14 assert calculate_sum_of_squares(4) == 30 assert calculate_sum_of_squares(0) == 0
"def find_intersection(lst1, lst2): return list(set(lst1).intersection(set(lst2)))",Finds the intersection of two lists.,"def test_find_intersection(): assert find_intersection([1, 2, 3], [3, 4, 5]) == [3] assert find_intersection([1, 2], [3, 4]) == [] assert find_intersection([1, 2, 3], [2, 3, 4]) == [2, 3]"
def calculate_product(lst): from math import prod return prod(lst),"Calculates the product of a list of numbers.

This function returns the product of all elements in the input list lst using Python's built-in math.prod function.","def test_calculate_product(): assert calculate_product([1, 2, 3]) == 6 assert calculate_product([4, 5, 6]) == 120 assert calculate_product([]) == 1"
"def get_max_length_word(words): return max(words, key=len)","Finds the longest word in a list of words.

This function returns the word with the maximum length from a list of words.","def test_get_max_length_word(): assert get_max_length_word([""apple"", ""banana"", ""cherry""]) == ""banana"" assert get_max_length_word([""cat"", ""elephant"", ""tiger""]) == ""elephant"" assert get_max_length_word([""a"", ""b"", ""c""]) == ""a"""
def remove_punctuation(s): import string return ''.join(c for c in s if c not in string.punctuation),"Removes punctuation from a string.

This function returns a new string with all punctuation characters removed from the input string s.","def test_remove_punctuation(): assert remove_punctuation(""hello, world!"") == ""hello world"" assert remove_punctuation(""python."") == ""python"" assert remove_punctuation(""test!!"") == ""test"""
"def is_prime(n): if n < 2: return False for i in range(2, int(n**0.5) + 1): if n % i == 0: return False return True",Checks if a number is prime.,def test_is_prime(): assert is_prime(2) assert is_prime(3) assert not is_prime(4) assert not is_prime(1)
def get_unique_words(s): return list(set(s.split())),"Gets unique words from a string.

This function returns a list of unique words from the input string s, where words are separated by whitespace.","def test_get_unique_words(): assert get_unique_words(""hello world hello"") == [""hello"", ""world""] assert get_unique_words(""code python"") == [""python"", ""code""] assert get_unique_words("""") == []"
"def calculate_power(base, exponent): return base ** exponent",Calculates the power of a base number raised to an exponent.,"def test_calculate_power(): assert calculate_power(2, 3) == 8 assert calculate_power(5, 0) == 1 assert calculate_power(7, 2) == 49"
def extract_numbers(s): return [int(c) for c in s if c.isdigit()],"Extracts numbers from a string.

This function returns a list of integers found in the input string s.","def test_extract_numbers(): assert extract_numbers(""abc123"") == [1, 2, 3] assert extract_numbers(""no numbers"") == [] assert extract_numbers(""4a5b6"") == [4, 5, 6]"
"def find_difference(lst1, lst2): return list(set(lst1) - set(lst2))",Finds elements in the first list that are not in the second list.,"def test_find_difference(): assert find_difference([1, 2, 3], [3, 4, 5]) == [1, 2] assert find_difference([4, 5, 6], [4, 6]) == [5] assert find_difference([1, 2], [2, 3]) == [1]"
def get_frequency(lst): from collections import Counter return dict(Counter(lst)),"Gets the frequency of elements in a list.

This function returns a dictionary where keys are elements from the list lst and values are their counts.","def test_get_frequency(): assert get_frequency([1, 2, 2, 3]) == {1: 1, 2: 2, 3: 1} assert get_frequency([4, 4, 4]) == {4: 3} assert get_frequency([]) == {}"
"def calculate_fibonacci(n): a, b = 0, 1 for _ in range(n): a, b = b, a + b return a","Calculates the nth Fibonacci number.

This function returns the nth number in the Fibonacci sequence.",def test_calculate_fibonacci(): assert calculate_fibonacci(0) == 0 assert calculate_fibonacci(1) == 1 assert calculate_fibonacci(5) == 5
"def find_divisors(n): return [i for i in range(1, n + 1) if n % i == 0]","Finds all divisors of a number.

This function returns a list of all divisors of the input number n.","def test_find_divisors(): assert find_divisors(6) == [1, 2, 3, 6] assert find_divisors(10) == [1, 2, 5, 10] assert find_divisors(13) == [1, 13]"
"def flatten_list(lst): result = [] for item in lst: if isinstance(item, list): result.extend(flatten_list(item)) else: result.append(item) return result","Flattens a nested list.

This function returns a single list containing all elements from the nested list lst, with nested lists flattened.","def test_flatten_list(): assert flatten_list([1, [2, [3, 4]], 5]) == [1, 2, 3, 4, 5] assert flatten_list([[1, 2], [3, [4, 5]]]) == [1, 2, 3, 4, 5] assert flatten_list([]) == []"
"def split_string(s, delimiter): return s.split(delimiter)",Splits a string by a delimiter.,"```def test_split_string(): assert split_string(""hello,world"", "","") == [""hello"", ""world""] assert split_string(""a"
def sum_of_digits(n): return sum(int(digit) for digit in str(n)),"Calculates the sum of digits of a number.

This function returns the sum of all digits in the input number n.",def test_sum_of_digits(): assert sum_of_digits(123) == 6 assert sum_of_digits(456) == 15 assert sum_of_digits(0) == 0
"def calculate_exponent(base, exponent): return base ** exponent",Calculates the exponentiation of a base number.,"def test_calculate_exponent(): assert calculate_exponent(2, 3) == 8 assert calculate_exponent(5, 0) == 1 assert calculate_exponent(7, 2) == 49"
def generate_square_numbers(n): return [i**2 for i in range(n)],"Generates a list of square numbers up to n.

This function returns a list of squares of numbers from 0 to n-1.","def test_generate_square_numbers(): assert generate_square_numbers(3) == [0, 1, 4] assert generate_square_numbers(5) == [0, 1, 4, 9, 16] assert generate_square_numbers(0) == []"
def calculate_mean(numbers): return sum(numbers) / len(numbers) if numbers else 0,"Calculates the mean of a list of numbers.

This function returns the average of all numbers in the input list numbers. If the list is empty, it returns 0.","def test_calculate_mean(): assert calculate_mean([1, 2, 3]) == 2 assert calculate_mean([4, 5, 6]) == 5 assert calculate_mean([]) == 0"
"def get_longest_word(words): return max(words, key=len)","Finds the longest word from a list.

This function returns the longest word from the input list of words.","def test_get_longest_word(): assert get_longest_word([""apple"", ""banana"", ""cherry""]) == ""banana"" assert get_longest_word([""cat"", ""elephant"", ""tiger""]) == ""elephant"" assert get_longest_word([""a"", ""b"", ""c""]) == ""a"""
def convert_to_lowercase(s): return s.lower(),"Converts a string to lowercase.

This function returns the input string s converted to lowercase.",def test_convert_to_lowercase(): assert convert_to_lowercase("HELLO") == "hello" assert convert_to_lowercase("World") == "world" assert convert_to_lowercase("") == ""
def find_largest_number(lst): return max(lst) if lst else None,"Finds the largest number in a list.

This function returns the largest number from the input list lst. If the list is empty, it returns None.","def test_find_largest_number(): assert find_largest_number([1, 2, 3]) == 3 assert find_largest_number([7, 4, 9]) == 9 assert find_largest_number([]) is None"
def convert_to_celsius(fahrenheit): return (fahrenheit - 32) * 5 / 9,"Converts Fahrenheit to Celsius.

This function returns the Celsius equivalent of the input temperature in Fahrenheit.",def test_convert_to_celsius(): assert convert_to_celsius(32) == 0 assert convert_to_celsius(100) == 37.7778 assert convert_to_celsius(212) == 100
def calculate_sum_of_squares(lst): return sum(x**2 for x in lst),Calculates the sum of squares of numbers in a list.,"def test_calculate_sum_of_squares(): assert calculate_sum_of_squares([1, 2, 3]) == 14 assert calculate_sum_of_squares([4, 5, 6]) == 77 assert calculate_sum_of_squares([]) == 0"
def find_max_in_nested_list(nested_lst): return max(max(sublist) for sublist in nested_lst if sublist),"Finds the maximum number in a nested list.

This function returns the largest number from the nested input list nested_lst.","def test_find_max_in_nested_list(): assert find_max_in_nested_list([[1, 2], [3, 4]]) == 4 assert find_max_in_nested_list([[7, 5], [6, 8]]) == 8 assert find_max_in_nested_list([[], [1]]) == 1"
def is_odd(n): return n % 2 != 0,"Checks if a number is odd.

This function returns True if the input number n is odd, otherwise False.",def test_is_odd(): assert is_odd(1) assert not is_odd(2) assert is_odd(13)
"def calculate_perimeter_of_rectangle(length, width): return 2 * (length + width)","Calculates the perimeter of a rectangle.

This function returns the perimeter of a rectangle given its length and width, using the formula 2 * (length + width).","def test_calculate_perimeter_of_rectangle(): assert calculate_perimeter_of_rectangle(5, 4) == 18 assert calculate_perimeter_of_rectangle(7, 3) == 20 assert calculate_perimeter_of_rectangle(0, 10) == 20"
def find_max_occurrence(lst): from collections import Counter count = Counter(lst) return count.most_common(1)[0][0],Finds the most frequent element in a list.,"def test_find_max_occurrence(): assert find_max_occurrence([1, 2, 2, 3]) == 2 assert find_max_occurrence([4, 4, 4, 5, 5]) == 4 assert find_max_occurrence([1, 1, 1]) == 1"
def reverse_list(lst): return lst[::-1],Reverses a list.,"def test_reverse_list(): assert reverse_list([1, 2, 3]) == [3, 2, 1] assert reverse_list(['a', 'b', 'c']) == ['c', 'b', 'a'] assert reverse_list([]) == []"
def extract_keys(d): return list(d.keys()),Extracts keys from a dictionary.,"def test_extract_keys(): assert extract_keys({'a': 1, 'b': 2}) == ['a', 'b'] assert extract_keys({'x': 10}) == ['x'] assert extract_keys({}) == []"
def calculate_average(lst): return sum(lst) / len(lst) if lst else 0,"Calculates the average of numbers in a list.

This function returns the average of all numbers in the input list lst. If the list is empty, it returns 0.","def test_calculate_average(): assert calculate_average([1, 2, 3]) == 2 assert calculate_average([4, 5, 6]) == 5 assert calculate_average([]) == 0"
def count_words(s): return len(s.split()),"Counts the number of words in a string.

This function returns the number of words in the input string s, where words are separated by whitespace.",def test_count_words(): assert count_words("hello world") == 2 assert count_words("one two three four") == 4 assert count_words("") == 0
def is_even(n): return n % 2 == 0,Checks if a number is even.,def test_is_even(): assert is_even(2) assert not is_even(3) assert is_even(10)
def convert_to_int(s): return int(s),"Converts a string to an integer.

This function returns the integer representation of the input string s.",def test_convert_to_int(): assert convert_to_int("123") == 123 assert convert_to_int("0") == 0 assert convert_to_int("-456") == -456
"def calculate_discount(price, discount_percentage): return price - (price * discount_percentage / 100)","Calculates the discounted price.

This function returns the price after applying a discount of discount_percentage to the original price.","def test_calculate_discount(): assert calculate_discount(100, 20) == 80 assert calculate_discount(200, 10) == 180 assert calculate_discount(50, 0) == 50"
"def get_keys_and_values(d): return list(d.keys()), list(d.values())","Gets keys and values from a dictionary.

This function returns two lists: one containing the keys and the other containing the values from the input dictionary d.","def test_get_keys_and_values(): assert get_keys_and_values({'a': 1, 'b': 2}) == (['a', 'b'], [1, 2]) assert get_keys_and_values({'x': 10}) == (['x'], [10]) assert get_keys_and_values({}) == ([], [])"
"def calculate_area_of_triangle(base, height): return 0.5 * base * height","Calculates the area of a triangle.

This function returns the area of a triangle given its base and height, using the formula 0.5 * base * height.","def test_calculate_area_of_triangle(): assert calculate_area_of_triangle(5, 4) == 10 assert calculate_area_of_triangle(7, 3) == 10.5 assert calculate_area_of_triangle(0, 10) == 0"
def find_min_in_list(lst): return min(lst) if lst else None,Finds the minimum value in a list.,"def test_find_min_in_list(): assert find_min_in_list([1, 2, 3]) == 1 assert find_min_in_list([7, 4, 9]) == 4 assert find_min_in_list([]) is None"
def calculate_cube(n): return n ** 3,"Calculates the cube of a number.

This function returns the cube of the input number n, using the formula n ** 3.",def test_calculate_cube(): assert calculate_cube(2) == 8 assert calculate_cube(3) == 27 assert calculate_cube(0) == 0
def convert_to_str(n): return str(n),"Converts a number to a string.

This function returns the string representation of the input number n.",def test_convert_to_str(): assert convert_to_str(123) == "123" assert convert_to_str(0) == "0" assert convert_to_str(-456) == "-456"
"def find_common_elements(lst1, lst2): return list(set(lst1) & set(lst2))",Finds common elements between two lists.,"def test_find_common_elements(): assert find_common_elements([1, 2, 3], [2, 3, 4]) == [2, 3] assert find_common_elements([4, 5, 6], [1, 2, 3]) == [] assert find_common_elements([1, 2, 3], [3, 3, 2]) == [2, 3]"
"def generate_factors(n): return [i for i in range(1, n + 1) if n % i == 0]","Generates factors of a number.

This function returns a list of all factors of the input number n.","def test_generate_factors(): assert generate_factors(6) == [1, 2, 3, 6] assert generate_factors(10) == [1, 2, 5, 10] assert generate_factors(13) == [1, 13]"
"def calculate_gcd(a, b): while b: a, b = b, a % b return a","Calculates the greatest common divisor (GCD) of two numbers.

This function returns the greatest common divisor of a and b using the Euclidean algorithm.","def test_calculate_gcd(): assert calculate_gcd(48, 18) == 6 assert calculate_gcd(101, 10) == 1 assert calculate_gcd(56, 98) == 14"
"def merge_dicts(d1, d2): result = d1.copy() result.update(d2) return result","Merges two dictionaries.

This function returns a new dictionary that combines keys and values from both d1 and d2. If keys overlap, values from d2 overwrite those from d1.","def test_merge_dicts(): assert merge_dicts({'a': 1}, {'b': 2}) == {'a': 1, 'b': 2} assert merge_dicts({'x': 10}, {'x': 20, 'y': 30}) == {'x': 20, 'y': 30}"
"def find_lcm(a, b): from math import gcd return abs(a * b) // gcd(a, b)","Finds the least common multiple (LCM) of two numbers.

This function returns the least common multiple of a and b using their greatest common divisor.","def test_find_lcm(): assert find_lcm(4, 5) == 20 assert find_lcm(15, 20) == 60 assert find_lcm(7, 9) == 63"
def extract_vowels(s): return ''.join(c for c in s if c in 'aeiouAEIOU'),"Extracts vowels from a string.

This function returns a new string containing only the vowel characters from the input string s.",def test_extract_vowels(): assert extract_vowels("hello") == "eo" assert extract_vowels("Python") == "o" assert extract_vowels("abcd") == "a"
def is_perfect_square(n): return int(n**0.5) ** 2 == n,"Checks if a number is a perfect square.

This function returns True if the input number n is a perfect square, otherwise False.",def test_is_perfect_square(): assert is_perfect_square(16) assert not is_perfect_square(18) assert is_perfect_square(25)
def remove_duplicates(lst): return list(set(lst)),Removes duplicate elements from a list.,"def test_remove_duplicates(): assert remove_duplicates([1, 2, 2, 3]) == [1, 2, 3] assert remove_duplicates([4, 4, 4]) == [4] assert remove_duplicates([]) == []"
def sum_list(lst): return sum(lst),"Calculates the sum of elements in a list.

This function returns the total sum of all elements in the input list lst.","def test_sum_list(): assert sum_list([1, 2, 3]) == 6 assert sum_list([10, 20]) == 30 assert sum_list([]) == 0"
def get_keys(d): return d.keys(),"Retrieves keys from a dictionary.

This function returns a view object of all keys in the input dictionary d.","def test_get_keys(): assert get_keys({'a': 1, 'b': 2}) == dict_keys(['a', 'b']) assert get_keys({'x': 10}) == dict_keys(['x']) assert get_keys({}) == dict_keys([])"
"def merge_lists(lst1, lst2): return lst1 + lst2","Merges two lists.

This function returns a new list that combines elements from both lst1 and lst2.","def test_merge_lists(): assert merge_lists([1, 2], [3, 4]) == [1, 2, 3, 4] assert merge_lists([], [5]) == [5] assert merge_lists([1, 2], []) == [1, 2]"
def reverse_string(s): return s[::-1],Reverses a string.,def test_reverse_string(): assert reverse_string("hello") == "olleh" assert reverse_string("Python") == "nohtyP" assert reverse_string("") == ""
"def is_valid_email(email): import re return re.match(r""[^@]+@[^@]+\.[^@]+"", email) is not None","Checks if an email address is valid.

This function returns True if the input string email matches a simple regex pattern for email addresses, otherwise False.",def test_is_valid_email(): assert is_valid_email("test@example.com") assert not is_valid_email("test@.com") assert not is_valid_email("test@com")
"def count_occurrences(lst, item): return lst.count(item)","Counts occurrences of an item in a list.

This function returns the number of times item appears in the input list lst.","def test_count_occurrences(): assert count_occurrences([1, 2, 2, 3], 2) == 2 assert count_occurrences([4, 4, 4], 5) == 0 assert count_occurrences([], 1) == 0"
"def find_longest_word(words): return max(words, key=len)","Finds the longest word in a list.

This function returns the word with the maximum length from the input list of words.","def test_find_longest_word(): assert find_longest_word([""apple"", ""banana"", ""cherry""]) == ""banana"" assert find_longest_word([""cat"", ""elephant"", ""tiger""]) == ""elephant"" assert find_longest_word([""a"", ""b"", ""c""]) == ""a"""
def filter_even_numbers(lst): return [x for x in lst if x % 2 == 0],Filters even numbers from a list.,"def test_filter_even_numbers(): assert filter_even_numbers([1, 2, 3, 4]) == [2, 4] assert filter_even_numbers([5, 6, 7, 8]) == [6, 8] assert filter_even_numbers([1, 3, 5]) == []"
def factorial(n): return 1 if n == 0 else n * factorial(n - 1),Calculates the factorial of a number.,def test_factorial(): assert factorial(5) == 120 assert factorial(0) == 1 assert factorial(3) == 6
def flatten_list(nested_lst): return [item for sublist in nested_lst for item in sublist],"Flattens a nested list.

This function returns a single list containing all elements from the nested input list nested_lst.","def test_flatten_list(): assert flatten_list([[1, 2], [3, 4]]) == [1, 2, 3, 4] assert flatten_list([[5], [6, 7]]) == [5, 6, 7] assert flatten_list([]) == []"
def extract_numbers(s): return [int(word) for word in s.split() if word.isdigit()],Extracts numbers from a string.,"def test_extract_numbers(): assert extract_numbers(""hello 123 world 456"") == [123, 456] assert extract_numbers(""no numbers here"") == [] assert extract_numbers(""42 56"") == [42, 56]"
def convert_to_float(s): return float(s),"Converts a string to a float.

This function returns the floating-point representation of the input string s.",def test_convert_to_float(): assert convert_to_float("12.34") == 12.34 assert convert_to_float("0.0") == 0.0 assert convert_to_float("-56.78") == -56.78
"def find_duplicates(lst): from collections import Counter count = Counter(lst) return [item for item, freq in count.items() if freq > 1]",Finds duplicate elements in a list.,"def test_find_duplicates(): assert find_duplicates([1, 2, 2, 3, 3, 4]) == [2, 3] assert find_duplicates([5, 5, 5]) == [5] assert find_duplicates([1, 2, 3]) == []"
"def generate_fibonacci(n): a, b = 0, 1 result = [] for _ in range(n): result.append(a) a, b = b, a + b return result","Generates the first n Fibonacci numbers.

This function returns a list of the first n numbers in the Fibonacci sequence.","def test_generate_fibonacci(): assert generate_fibonacci(5) == [0, 1, 1, 2, 3] assert generate_fibonacci(3) == [0, 1, 1] assert generate_fibonacci(0) == []"
"def get_max_key(d): return max(d, key=d.get)","Finds the key with the maximum value in a dictionary.

This function returns the key associated with the maximum value in the input dictionary d.","def test_get_max_key(): assert get_max_key({'a': 1, 'b': 2}) == 'b' assert get_max_key({'x': 10, 'y': 20}) == 'y' assert get_max_key({'k': 7}) == 'k'"
"def get_min_key(d): return min(d, key=d.get)","Finds the key with the minimum value in a dictionary.

This function returns the key associated with the minimum value in the input dictionary d.","def test_get_min_key(): assert get_min_key({'a': 1, 'b': 2}) == 'a' assert get_min_key({'x': 10, 'y': 5}) == 'y' assert get_min_key({'k': 7}) == 'k'"
def generate_power_of_two(n): return [2**i for i in range(n)],"Generates the first n powers of two.

This function returns a list of the first n powers of two.","def test_generate_power_of_two(): assert generate_power_of_two(3) == [1, 2, 4] assert generate_power_of_two(5) == [1, 2, 4, 8, 16] assert generate_power_of_two(0) == []"
"def split_string(s, delimiter): return s.split(delimiter)",Splits a string by a delimiter.,"```def test_split_string(): assert split_string(""a,b,c"", "","") == [""a"", ""b"", ""c""] assert split_string(""one"
def count_digits(s): return sum(c.isdigit() for c in s),"Counts the number of digits in a string.

This function returns the total number of digit characters in the input string s.",def test_count_digits(): assert count_digits("abc123") == 3 assert count_digits("hello") == 0 assert count_digits("12345") == 5
"def generate_range(start, end): return list(range(start, end))","Generates a list of numbers in a range.

This function returns a list of integers from start to end - 1.","def test_generate_range(): assert generate_range(1, 5) == [1, 2, 3, 4] assert generate_range(0, 3) == [0, 1, 2] assert generate_range(5, 5) == []"
"def merge_sorted_lists(lst1, lst2): return sorted(lst1 + lst2)","Merges and sorts two lists.

This function returns a new list that is the result of merging lst1 and lst2 and then sorting the combined list.","def test_merge_sorted_lists(): assert merge_sorted_lists([1, 3], [2, 4]) == [1, 2, 3, 4] assert merge_sorted_lists([5, 6], [1, 2]) == [1, 2, 5, 6] assert merge_sorted_lists([], [7]) == [7]"
"def is_prime(n): if n < 2: return False for i in range(2, int(n**0.5) + 1): if n % i == 0: return False return True",Checks if a number is prime.,def test_is_prime(): assert is_prime(2) assert not is_prime(4) assert is_prime(7)
def sort_list(lst): return sorted(lst),"Sorts a list.

This function returns a new list with elements from the input list lst sorted in ascending order.","def test_sort_list(): assert sort_list([3, 1, 2]) == [1, 2, 3] assert sort_list([10, 5, 8]) == [5, 8, 10] assert sort_list([]) == []"
"def repeat_string(s, n): return s * n","Repeats a string n times.

This function returns a new string formed by repeating the input string s, n times.","def test_repeat_string(): assert repeat_string(""abc"", 3) == ""abcabcabc"" assert repeat_string(""x"", 5) == ""xxxxx"" assert repeat_string("""", 10) == """""
def square_numbers(lst): return [x**2 for x in lst],"Squares each number in a list.

This function returns a new list with each element from the input list lst squared.","def test_square_numbers(): assert square_numbers([1, 2, 3]) == [1, 4, 9] assert square_numbers([4, 5]) == [16, 25] assert square_numbers([]) == []"
def find_max(lst): return max(lst),"Finds the maximum value in a list.

This function returns the maximum value among the elements in the input list lst.","def test_find_max(): assert find_max([1, 2, 3]) == 3 assert find_max([10, 20, 30]) == 30 assert find_max([-5, -1, -3]) == -1"
def find_min(lst): return min(lst),"Finds the minimum value in a list.

This function returns the minimum value among the elements in the input list lst.","def test_find_min(): assert find_min([1, 2, 3]) == 1 assert find_min([10, 20, 30]) == 10 assert find_min([-5, -1, -3]) == -5"
def calculate_mean(lst): return sum(lst) / len(lst) if lst else 0,"Calculates the mean of a list of numbers.

This function returns the arithmetic mean of the elements in the input list lst. If the list is empty, it returns 0.","def test_calculate_mean(): assert calculate_mean([1, 2, 3]) == 2 assert calculate_mean([4, 5, 6]) == 5 assert calculate_mean([]) == 0"
"def remove_whitespace(s): return s.replace("" "", """")","Removes all whitespace from a string.

This function returns a new string with all spaces removed from the input string s.",def test_remove_whitespace(): assert remove_whitespace("hello world") == "helloworld" assert remove_whitespace(" abc ") == "abc" assert remove_whitespace("") == ""
"def join_list(lst, delimiter): return delimiter.join(map(str, lst))","Joins elements of a list into a string with a delimiter.

This function returns a single string created by concatenating elements of the input list lst, separated by the specified delimiter.","def test_join_list(): assert join_list([1, 2, 3], ""-"") == ""1-2-3"" assert join_list([""a"", ""b"", ""c""], "","") == ""a,b,c"" assert join_list([], "":"") == """""
